Count,Name,Start X,Start Y,End X,End Y
1,Line,13.8092,2.8045,11.4127,3.7082
1,Line,13.8092,2.8045,15.2169,4.9443
1,Line,17.6134,4.0406,15.2169,4.9443
1,Line,17.6134,4.0406,19.0211,6.1803
1,Line,21.4177,5.2767,19.0211,6.1803
1,Line,21.4177,5.2767,22.8254,7.4164
1,Line,22.8254,7.4164,25.2219,6.5128
1,Line,25.2219,6.5128,26.6296,8.6525
1,Line,26.6296,8.6525,29.0261,7.7488
1,Line,29.0261,7.7488,30.4338,9.8885
1,Line,30.4338,9.8885,32.8303,8.9849
1,Line,32.8303,8.9849,34.2380,11.1246
1,Line,34.2380,11.1246,36.6346,10.2210
1,Line,36.6346,10.2210,38.0423,12.3607
